Company Name,Ticker,Sector
TRAVIS PERKINS,TVPKF,Retail-Wholesale
TRAVELPORT WWD,TVPT,Retail-Wholesale
TRANS WORLD ENT,TWMC,Retail-Wholesale
TEXAS ROADHOUSE,TXRH,Retail-Wholesale
TRAVELZOO INC,TZOO,Retail-Wholesale
ULTA SALON COSM,ULTA,Retail-Wholesale
URBAN OUTFITTER,URBN,Retail-Wholesale
VILLAGE SPRMKT,VLGEA,Retail-Wholesale
VERA BRADLEY,VRA,Retail-Wholesale
VITAMIN SHOPPE,VSI,Retail-Wholesale
WAYFAIR INC,W,Retail-Wholesale
WALKING CO HLDG,WALK,Retail-Wholesale
WALGREENS BAI,WBA,Retail-Wholesale
WENDYS CO/THE,WEN,Retail-Wholesale
WHOLE FOODS MKT,WFM,Retail-Wholesale
G WILLI-FOOD,WILC,Retail-Wholesale
WINMARK CORP,WINA,Retail-Wholesale
WINGSTOP INC,WING,Retail-Wholesale
WEIS MKTS INC,WMK,Retail-Wholesale
WAL-MART MX-ADR,WMMVY,Retail-Wholesale
WAL-MART STORES,WMT,Retail-Wholesale
WILLIAMS-SONOMA,WSM,Retail-Wholesale
WAYSIDE TECH GP,WSTG,Retail-Wholesale
WHITBREAD ADR,WTBCY,Retail-Wholesale
XCEL BRANDS INC,XELB,Retail-Wholesale
FFP PARTNERS,XXFPL,Retail-Wholesale
YOSEN GROUP INC,YOSN,Retail-Wholesale
YUM! BRANDS INC,YUM,Retail-Wholesale
YUM CHINA HLDGS,YUMC,Retail-Wholesale
ZALANDO SE ADRS,ZLNDY,Retail-Wholesale
ZOES KITCHEN,ZOES,Retail-Wholesale
ZUMIEZ INC,ZUMZ,Retail-Wholesale
